Gene	Publication link	Publication DOI	Year	uniprot link	uniprot ID 
metX	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4DRD7/entry	A0A2X4DRD7
serB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4DRL8/entry	A0A2X4DRL8
envC	https://pubmed.ncbi.nlm.nih.gov/25714719/	10.1128/mBio.02575-14	2015	https://www.uniprot.org/uniprotkb/A0A2X4DVT9/entry	A0A2X4DVT9
asnA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4DWG8/entry	A0A2X4DWG8
lspA	https://pubmed.ncbi.nlm.nih.gov/15256552/	10.1099/mic.0.26912-0	2004	https://www.uniprot.org/uniprotkb/A0A2X4E0Q9/entry	A0A2X4E0Q9 
apaH	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4G1R8/entry	A0A2X4G1R8
recC	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4G1Y2/entry	A0A2X4G1Y2
ribB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4G2D4/entry	A0A2X4G2D4
metE	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4G516/entry	A0A2X4G516
licB	https://pubmed.ncbi.nlm.nih.gov/26521136/	10.1016/j.micpath.2015.10.010	2016	https://www.uniprot.org/uniprotkb/A0A2X4G6C0/entry	A0A2X4G6C0
tyrA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4G6S0/entry	A0A2X4G6S0
ModA2	https://pubmed.ncbi.nlm.nih.gov/27288538/	10.1093/infdis/jiw243	2016	https://www.uniprot.org/uniprotkb/A0A6V7R1Z7/entry	A0A6V7R1Z7 
ytfE	https://pubmed.ncbi.nlm.nih.gov/19289513/	10.1128/IAI.01365-08	2009	https://www.uniprot.org/uniprotkb/A0A7H5FQY6/entry	A0A7H5FQY6
Hpd	https://pubmed.ncbi.nlm.nih.gov/32021693/	10.1016/j.nmni.2019.100632	2019	https://www.uniprot.org/uniprotkb/A0A7L4YHB4/entry	A0A7L4YHB4
yrbE	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A7U7FXP2/entry	A0A7U7FXP2
yrbD	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A7U7FXP4/entry	A0A7U7FXP4
hfq	https://pubmed.ncbi.nlm.nih.gov/23767779/	10.1186/1471-2180-13-134	2013	https://www.uniprot.org/uniprotkb/A0A808U428/entry	A0A808U428
rfaD	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A852PCC4/entry	A0A852PCC4
zevB	https://pubmed.ncbi.nlm.nih.gov/21576338/	10.1128/IAI.05135-11	2011	https://www.uniprot.org/uniprotkb/A0A852PK68/entry	A0A852PK68
zevB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A852PK68/entry	A0A852PK68
gmhA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A852PM37/entry	A0A852PM37
serA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A852PN84/entry	A0A852PN84
zevA	https://pubmed.ncbi.nlm.nih.gov/21576338/	10.1128/IAI.05135-11	2011	https://www.uniprot.org/uniprotkb/A0A852PU31/entry	A0A852PU31
zevA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A852PU31/entry	A0A852PU31
tehB	https://pubmed.ncbi.nlm.nih.gov/20075041/	10.1099/mic.0.036400-0	2010	https://www.uniprot.org/uniprotkb/A0A852PWB3/entry	A0A852PWB3
znuA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A852PY20/entry	A0A852PY20
vacJ	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A854CW86/entry	A0A854CW86
igaA	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424479	2023	https://www.uniprot.org/uniprotkb/A0A8E5JKA0/entry	A0A8E5JKA0
yfeB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A9W5B3J5/entry	A0A9W5B3J5
yfeA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A9W5B3T3/entry	A0A9W5B3T3
afuB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A9W5F2B4/entry	A0A9W5F2B4
las	https://pubmed.ncbi.nlm.nih.gov/25763053/	10.1590/s1517-83822014000400040	2015	https://www.uniprot.org/uniprotkb/A0AA43SCS8/entry	A0AA43SCS8
trpE	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0AA45M7A4/entry	A0AA45M7A4
pmbA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0AA45MD33/entry	A0AA45MD33
mfd	https://pubmed.ncbi.nlm.nih.gov/26419455/	10.2436/20.1501.01.219	2014	https://www.uniprot.org/uniprotkb/A0AA45RM18/entry	A0AA45RM18
siaB	https://pubmed.ncbi.nlm.nih.gov/23980106/	10.1128/IAI.00492-13	2013	https://www.uniprot.org/uniprotkb/A0AA49JHH4/entry	A0AA49JHH4
siaB	https://pubmed.ncbi.nlm.nih.gov/17185550/	10.1099/mic.0.2006/000190-3	2007	https://www.uniprot.org/uniprotkb/A0AA49JHH4/entry	A0AA49JHH4
vapB	https://pubmed.ncbi.nlm.nih.gov/23157645/	10.1186/1471-2180-12-263	2012	https://www.uniprot.org/uniprotkb/A0QRY5/entry	A0QRY5
vapC	https://pubmed.ncbi.nlm.nih.gov/23157645/	10.1186/1471-2180-12-263	2012	https://www.uniprot.org/uniprotkb/A0QRY6/entry	A0QRY6 
rfbB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0QSK6/entry	A0QSK6
Gdh	https://pubmed.ncbi.nlm.nih.gov/34237220/ 	10.1139/cjm-2020-0538	2021	https://www.uniprot.org/uniprotkb/A0R1C2/entry	A0R1C2
lgtF	https://pubmed.ncbi.nlm.nih.gov/23980106/	10.1128/IAI.00492-13	2013	https://www.uniprot.org/uniprotkb/A6YCE8/entry	A6YCE8
lgtF	https://pubmed.ncbi.nlm.nih.gov/15256552/	10.1099/mic.0.26912-0	2004	https://www.uniprot.org/uniprotkb/A6YCE8/entry	A6YCE8
lgtF	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A6YCE8/entry	A6YCE8
lex2B	https://pubmed.ncbi.nlm.nih.gov/35401483/	10.3389/fmicb.2022.856890	2022	https://www.uniprot.org/uniprotkb/C1J7I7/entry	C1J7I7
lex2B	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/C1J7I7/entry	C1J7I7
yrbF	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/C7BL85/entry	C7BL85
hemR	https://pubmed.ncbi.nlm.nih.gov/25903577/	10.1128/JCM.00345-18	2015	https://www.uniprot.org/uniprotkb/G9FZR6/entry	G9FZR6
lic2C	https://pubmed.ncbi.nlm.nih.gov/15256552/	10.1099/mic.0.26912-0	2004	https://www.uniprot.org/uniprotkb/I1ZAV2/entry	I1ZAV2
Omp P6	https://pubmed.ncbi.nlm.nih.gov/32785145/	10.3390/ijms21165748	2020	https://www.uniprot.org/uniprotkb/M4PH35/entry	M4PH35
ompP6	https://pubmed.ncbi.nlm.nih.gov/34237220/ 	10.1139/cjm-2020-0537	2021	https://www.uniprot.org/uniprotkb/M4PH35/entry	M4PH35
igaB	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424480	2023	https://www.uniprot.org/uniprotkb/N0BM78/entry	N0BM78
igaB	https://pubmed.ncbi.nlm.nih.gov/16988265/	10.1128/IAI.00796-06	2006	https://www.uniprot.org/uniprotkb/N0BM78/entry	N0BM78
bexA	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424468	2023	https://www.uniprot.org/uniprotkb/P10640/entry	P10640
Omp P1	https://pubmed.ncbi.nlm.nih.gov/32785145/	10.3390/ijms21165745	2020	https://www.uniprot.org/uniprotkb/P10641/entry	P10641
licA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/P14181/entry	P14181
hifA	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424470	2023	https://www.uniprot.org/uniprotkb/P14212/entry	P14212
bexB	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424469	2023	https://www.uniprot.org/uniprotkb/P22235/entry	P22235 
bexD	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424471	2023	https://www.uniprot.org/uniprotkb/P22236/entry	P22236
bexC	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424470	2023	https://www.uniprot.org/uniprotkb/P22930/entry	P22930
ompP4	https://pubmed.ncbi.nlm.nih.gov/32785145/	10.3390/ijms21165747	2020	https://www.uniprot.org/uniprotkb/P26093/entry	P26093
hifC	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424472	2023	https://www.uniprot.org/uniprotkb/P33397/entry	P33397
hitA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/P35755/entry	P35755
hifB	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424471	2023	https://www.uniprot.org/uniprotkb/P35757/entry	P35757
omp5	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424478	2023	https://www.uniprot.org/uniprotkb/P38368/entry	P38368
OMP5	https://pubmed.ncbi.nlm.nih.gov/34237220/ 	10.1139/cjm-2020-0536	2021	https://www.uniprot.org/uniprotkb/P38368/entry	P38368
iga	https://pubmed.ncbi.nlm.nih.gov/22970300/	10.1371/journal.pone.0044730	2012	https://www.uniprot.org/uniprotkb/P42782/entry	P42782
iga1	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424482	2023	https://www.uniprot.org/uniprotkb/P42782/entry	P42782
hxuA	https://pubmed.ncbi.nlm.nih.gov/25903577/	10.1128/JCM.00345-15	2015	https://www.uniprot.org/uniprotkb/P45354/entry	P45354
hxuA	https://pubmed.ncbi.nlm.nih.gov/17185550/	10.1099/mic.0.2006/000190-0	2007	https://www.uniprot.org/uniprotkb/P45354/entry	P45354
hxuB	https://pubmed.ncbi.nlm.nih.gov/25903577/	10.1128/JCM.00345-16	2015	https://www.uniprot.org/uniprotkb/P45356/entry	P45356
hxuB	https://pubmed.ncbi.nlm.nih.gov/17185550/	10.1099/mic.0.2006/000190-1	2007	https://www.uniprot.org/uniprotkb/P45356/entry	P45356
hxuB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/P45356/entry	P45356
hxuC	https://pubmed.ncbi.nlm.nih.gov/25903577/	10.1128/JCM.00345-17	2015	https://www.uniprot.org/uniprotkb/P45357/entry	P45357
hxuC	https://pubmed.ncbi.nlm.nih.gov/17185550/	10.1099/mic.0.2006/000190-2	2007	https://www.uniprot.org/uniprotkb/P45357/entry	P45357
hap	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424477	2023	https://www.uniprot.org/uniprotkb/P45387/entry	P45387
Hap	https://pubmed.ncbi.nlm.nih.gov/32785145/	10.3390/ijms21165742	2020	https://www.uniprot.org/uniprotkb/P45387/entry	P45387
hifD	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424473	2023	https://www.uniprot.org/uniprotkb/P45994/entry	P45994
hifE	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424474	2023	https://www.uniprot.org/uniprotkb/P45995/entry	P45995
OmpA	https://pubmed.ncbi.nlm.nih.gov/34237220/ 	10.1139/cjm-2020-0541	2021	https://www.uniprot.org/uniprotkb/P45996/entry	P45996
Omp P2	https://pubmed.ncbi.nlm.nih.gov/32785145/	10.3390/ijms21165746	2020	https://www.uniprot.org/uniprotkb/P46025/entry	P46025
yrbB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/P64602/entry	P64602
hsf 	https://pubmed.ncbi.nlm.nih.gov/16785539/	10.4049/jimmunol.177.1.430	2006	https://www.uniprot.org/uniprotkb/P71401/entry	P71401
hsf	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424476	2023	https://www.uniprot.org/uniprotkb/P71401/entry	P71401 
argF	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/Q02047/entry	Q02047
Ply	https://pubmed.ncbi.nlm.nih.gov/32021693/	10.1016/j.nmni.2019.100632	2019	https://www.uniprot.org/uniprotkb/Q04IN8/entry	Q04IN8
lpsA	https://pubmed.ncbi.nlm.nih.gov/23980106/	10.1128/IAI.00492-13	2013	https://www.uniprot.org/uniprotkb/Q0ZAZ6/entry	Q0ZAZ6
lpsA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/Q0ZAZ6/entry	Q0ZAZ6
hcsA	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424469	2023	https://www.uniprot.org/uniprotkb/Q2ERF8/entry	Q2ERF8
hmw1A	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424473	2023	https://www.uniprot.org/uniprotkb/Q2PBP7/entry	Q2PBP7
Hmw1	https://pubmed.ncbi.nlm.nih.gov/32785145/	10.3390/ijms21165739	2020	https://www.uniprot.org/uniprotkb/Q2PBP7/entry	Q2PBP7
hmw1	https://pubmed.ncbi.nlm.nih.gov/22970300/	10.1371/journal.pone.0044730	2012	https://www.uniprot.org/uniprotkb/Q2PBP7/entry	Q2PBP7
HbpA	https://pubmed.ncbi.nlm.nih.gov/18212083/	10.1128/IAI.01378-07	2008	https://www.uniprot.org/uniprotkb/Q2VLI1/entry	Q2VLI1
yrbC	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/Q3IZG2/entry	Q3IZG2
groES	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/Q3YNQ7/entry	Q3YNQ7
kfiC	https://pubmed.ncbi.nlm.nih.gov/35401483/	10.3389/fmicb.2022.856885	2022	https://www.uniprot.org/uniprotkb/Q47330/entry	Q47330
hmw2B	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424475	2023	https://www.uniprot.org/uniprotkb/Q48029/entry	Q48029
